Drugs,Status,Evidence ID,Gene,Variant,Description,Disease,Evidence Level,Evidence Type,Evidence Direction,Clinical Significance,Variant Origin,Trust Rating
Trastuzumab,accepted,1453,PIK3CA,E545K,"PI3K mutant E545K was overexpressed in the trastuzumab sensitive HER2 BT474 breast cancer cell line, and significant resistance to trastuzumab was induced in comparison to control cells.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Resistance or Non-Response,Somatic Mutation,2
Tamoxifen,accepted,856,CCND1,OVEREXPRESSION,The authors performed a tissue microarray analysis of 167 postmenopausal breast cancers that had been randomized to treatment with or without tamoxifen.  ER +ve patients with high CCND1 tumor expression did not show any difference in survival between tamoxifen and no treatment.,Estrogen-receptor Positive Breast Cancer,B,Predictive,Supports,Resistance or Non-Response,N/A,3
"FGF/VEGF Receptor Tyrosine Kinase Inhibitor, PD173074, Dovitinib",submitted,5828,FGFR4,OVEREXPRESSION,ERBB2-positive breast cancer cell lines including MDA-MB-361 and MDA-MB-453 were found to display outlier expression of FGFR4. Targeting FGFR4 in FGFR4 overexpressing ERBB2-positive breast cancer samples was found to confer independent as well as additive inhibitory effects upon their combined knockdown as well as pharmacological inhibition.,Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,3
Everolimus,accepted,1296,PIK3CA,MUTATION,"Archival tumor samples from 549 patients from the BOLERO-1 and -3 trials were analyzed for alterations in the PI3K pathway using next-generation sequencing, immunohistochemistry (IHC) and Sanger sequencing. In the BOLERO trials, patients with HER2-overexpressing advanced breast cancer were treated with trastuzumab, chemotherapy and randomized to receive either everolimus or placebo. In the pooled analysis of both trials, patients with PI3K mutations had longer progression-free survival with everolimus compared to placebo (HR 0.67 95%CI 0.45 to 1.00, P=0.05) whereas patients with PI3K wild type status did not benefit significantly (HR 1.1, 95%CI 0.83 to 1.46, P=0.5). The same was found when PI3K mutations, PTEN loss and AKT E17K mutations were combinedly analyzed as hyperactive PI3K pathway. Patients with PI3K hyperactive pathway had a hazard ratio of 0.67 (95%CI 0.48 to 0.93, P=0.02) compared to HR 1.19 (95%CI 0.87 to 1.62, P=0.28) in patients with PI3K normal pathway. These trends were independently confirmed in both trials but only pooled results showed consistent statistical significance.",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,4
Trastuzumab,accepted,1384,PIK3CA,MUTATION,"The HER2 overexpressing breast cancer cell line BT-474 transduced with mutant PIK3CA H1047R demonstrated essentially normal proliferation under trastuzumab, while control cells showed negligible proliferation with trastuzumab. Sequencing of 55 HER2 breast cancer samples revealed 25% PIK3CA mutation rate and Kaplan Meier curves showed decreased time to progression for mutant PIK3CA at borderline statistical significance (p=0.052). This was potentially explained by presence of PTEN loss in wild-type PIK3CA sample and combining PTEN loss with PIK3CA mutation resulted in significant differences in time to progression (p=0.007).",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Resistance or Non-Response,Somatic Mutation,2
"Carboplatin, Eribulin",submitted,2969,CDK2,CYTOPLASMIC EXPRESSION,"In a Phase 2 trial, HRD score, HR deficiency status, and cytoplasmic CDK2 predicted pathologic complete remission to neoadjuvant therapy with carboplatin and eribulin in early stage TNBC patients.",Triple-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,3
AKT3 Inhibitor,accepted,1923,AKT3,OVEREXPRESSION,"AKT3 was found to be preferentially required for the proliferation and tumor growth of TNBC. It was found to be upregulated in a set of TNBC cell lines compared to other breast cancer types. Depletion of AKT3 in TNBC sensitizes cells to the pan-Akt inhibitor GSK690693. It was found that depletion of Akt3 potentially inhibits the growth of TNBC cell lines in three-dimensional (3D) spheroid cultures and in mouse xenograft models, which imply that therapeutic targeting of AKT3 may provide a new treatment option for TNBCs.",Triple-receptor Negative Breast Cancer,E,Predictive,Supports,Sensitivity,N/A,4
Ado-trastuzumab Emtansine,accepted,4840,ERBB2,OVEREXPRESSION,"Trastuzumab emtansine has its indication for patients with HER2-positive metastatic breast cancer after therapy with Trastuzumab and Taxane, approval based on PFS and preliminary OS data. EMILIA was a randomised open-label, phase III study for patients with HER2-positive, unresectable, locally advanced, or metastatic breast cancer previously treated with Trastuzumab and a Taxane, randomized 1:1 to Trastuzumab-emtansine or Capecitabine plus Lapatinib. 991 patients were enrolled. Median OS was 29.9m vs. 25.9m. Fewer grade 3 or worse AE occurred with trastuzumab emtansine than with capecitabine plus lapatinib control treatment.",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,4
Ponatinib,accepted,1767,FGFR1,AMPLIFICATION,In MDA-MB-134 cells (ER-positive breast cancer cells with amplified FGFR1) ponatinib potently inhibited cell growth with a GI50 value of 23 nmol/L and inhibited FGFR1 phosphorylation with an IC50 value of 7 nmol/L.,Estrogen-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,3
Palbociclib (PD0332991),accepted,1630,RB1,M695FS*26,"Preclinical study in breast cancer cell lines treated with CDK4/6 inhibitor palbociclib. Palbociclib-resistant xenografts from one cell line (PDX244) were developed in-vivo. In resistant xenografts, western blot analysis showed a decrease of pRb protein levels in 4 of 7 CDK4/6-acquired resistant tumors and a sustained expression of the E2F target cyclin E2, in contrast to CDK4/6 inhibitor-sensitive PDX244. Genomic characterization of PDX244LR1 showed the acquisition of an RB1 frameshift mutation (RB1 p.M695fs*26).",Estrogen-receptor Positive Breast Cancer,D,Predictive,Supports,Resistance or Non-Response,Somatic Mutation,2
